Neighborhood,PPSF
Riverdale,365
Wakefield,366
Kingsbridge,346
Bedford Park,269
Bronxwood,255
University Hights,279
Fordham,283
Pelham Parkway,233
Morris Park,364
Tremont,265
East Tremont,370
Parkchester,254
Concourse,326
Soundview,342
Throngsneck,389
,
Inwood,544
Washington Heights,655
Hamilton Heights,669
Central Harlem,930
Morningside Heights,1818
East Harlem,965
Upper West Side,1717
Upper East Side,1472
Roosevelt Island,1030
Central Park South,2352
Midtown West,1653
Midtown,2289
Midtown East,1293
Midtown South,1578
Chelsea,1995
Flatiron,2048
Gramercy Park,1900
West Village,2448
Greenwich Village,1807
East Village,1532
Soho,2213
Nolita,2433
Lower East Side,1834
Tribeca,2127
Battery Park City,1439
Financial District,1271
,
Green Point,1233
Williamsburg,1336
Dumbo,1650
Brooklyn Heights,1663
Bushwick,662
Bed-Stuy,773
Crown Heights,725
Clinton Hill,970
Downtown Brooklyn,1428
Prospect Heights,1144
Park Slope,1255
Boerum Hill,1514
Cobble Hill,1569
Waterfront,1303
Red Hook,905
Carroll Gardens,1199
Gowanus,1317
Greenwood,813
Windsor Terrace,805
Sunset Park,724
Bay Ridge,533
Dyker Heights,648
Borough Park,800
Kensington,585
Bath Beach,593
Bensonhurst,635
Seagate,399
Coney Island,467
Gravesend,620
Brighton Beach,586
Manhattan Beach,699
Sheepshead Bay,436
Gerritsen Beach,552
Marine Park,529
Midwood,564
Ditmas Park,609
Prospect Park South,883
Flatbush,515
Prospect Lefferts Gardens,890
East New York,422
Brownsville,406
Canarsie,426
East Flatbush,433
Bergen Beach,485
Flatlands,479
Old Mill Basin,318
Mill Basin,493
Fort Greene,1194
Astoria,737
Woodside,713
Jackson Heights,465
East Elmherst,431
North Corona,664
Corona,594
College Point,489
Whitestone,517
Flushing,812
Auburndale,568
Bayside,388
Little Neck,475
Glen Oaks,467
Oakland Gardens,490
Queens Village,442
Jamaica Estates,561
Kew Gardens Hills,363
Forest Hills,449
Rego Park,458
Middle Village,510
Maspeth,564
Elmhurst,615
Long Island City,1276
Sunnyside,584
Ridgewood,523
Glendale,491
Woodhaven,425
Richmond Hill,370
Kew Gardens,385
Briarwood,372
Jamaica ,334
St Albans,416
Cambria Heights,350
Laurelton,348
Springfield Gardens,399
South Jamaica,477
South Ozone Park,475
Howard Beach,351
Rockaway,455
